Period #,Period Dates,Start Date,End Date,Slot,First Name,Last Name,Phone,Email,Referred By
Period 1,"October 1, 2026 – October 7, 2026",2026-10-01,2026-10-07,Slot A,,,,,
Period 1,"October 1, 2026 – October 7, 2026",2026-10-01,2026-10-07,Slot B,,,,,
Period 2,"October 7, 2026 – October 13, 2026",2026-10-07,2026-10-13,Slot A,,,,,
Period 2,"October 7, 2026 – October 13, 2026",2026-10-07,2026-10-13,Slot B,,,,,
Period 3,"October 13, 2026 – October 19, 2026",2026-10-13,2026-10-19,Slot A,,,,,
Period 3,"October 13, 2026 – October 19, 2026",2026-10-13,2026-10-19,Slot B,,,,,
Period 4,"October 19, 2026 – October 25, 2026",2026-10-19,2026-10-25,Slot A,,,,,
Period 4,"October 19, 2026 – October 25, 2026",2026-10-19,2026-10-25,Slot B,,,,,
Period 5,"October 25, 2026 – October 31, 2026",2026-10-25,2026-10-31,Slot A,,,,,
Period 5,"October 25, 2026 – October 31, 2026",2026-10-25,2026-10-31,Slot B,,,,,
Period 6,"October 31, 2026 – November 6, 2026",2026-10-31,2026-11-06,Slot A,,,,,
Period 6,"October 31, 2026 – November 6, 2026",2026-10-31,2026-11-06,Slot B,,,,,
Period 7,"November 6, 2026 – November 12, 2026",2026-11-06,2026-11-12,Slot A,,,,,
Period 7,"November 6, 2026 – November 12, 2026",2026-11-06,2026-11-12,Slot B,,,,,
Period 8,"November 12, 2026 – November 18, 2026",2026-11-12,2026-11-18,Slot A,,,,,
Period 8,"November 12, 2026 – November 18, 2026",2026-11-12,2026-11-18,Slot B,,,,,
Period 9,"November 18, 2026 – November 24, 2026",2026-11-18,2026-11-24,Slot A,,,,,
Period 9,"November 18, 2026 – November 24, 2026",2026-11-18,2026-11-24,Slot B,,,,,
Period 10,"November 24, 2026 – November 30, 2026",2026-11-24,2026-11-30,Slot A,,,,,
Period 10,"November 24, 2026 – November 30, 2026",2026-11-24,2026-11-30,Slot B,,,,,
Period 11,"November 30, 2026 – December 6, 2026",2026-11-30,2026-12-06,Slot A,,,,,
Period 11,"November 30, 2026 – December 6, 2026",2026-11-30,2026-12-06,Slot B,,,,,
Period 12,"December 6, 2026 – December 12, 2026",2026-12-06,2026-12-12,Slot A,,,,,
Period 12,"December 6, 2026 – December 12, 2026",2026-12-06,2026-12-12,Slot B,,,,,
Period 13,"December 12, 2026 – December 18, 2026",2026-12-12,2026-12-18,Slot A,,,,,
Period 13,"December 12, 2026 – December 18, 2026",2026-12-12,2026-12-18,Slot B,,,,,
Period 14,"December 18, 2026 – December 24, 2026",2026-12-18,2026-12-24,Slot A,,,,,
Period 14,"December 18, 2026 – December 24, 2026",2026-12-18,2026-12-24,Slot B,,,,,
Period 15,"December 24, 2026 – December 30, 2026",2026-12-24,2026-12-30,Slot A,,,,,
Period 15,"December 24, 2026 – December 30, 2026",2026-12-24,2026-12-30,Slot B,,,,,
